,SN,expectedAge,Age,AgeRange,Gender,Race,S3.Others,Citizen,Marital,WhenMarry,NoMarry.CannotFind,NoMarry.TooExpensive,NoMarry.CannotFindHouse,NoMarry.Others,A3_4.Others,No.Children,No.ChildrenIntend,MoreChildren,Child.TooExpensive,Child.HardSecureHouse,Child.TooCompetitive,Child.TooUncertain,Child.DifficultChildcare,Child.AffectCareer,Child.Enough,Others,A7_8.Others,Breadwinner,PurchaseHouse,WithWho,DecisionMaker,YrPurchase,YrNextChild,DualIncome,SingleIncome,NonHousingAssets,Rank_Size,Rank_Location,Rank_Gains,Rank_MoveInTime,Rank_SellTime,C1_1,C1_2,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,C3_4,C3_a,C3_b,C4Post_1,C4Post_2,C4Post_3,C4Post_4,C5_1,C5_2,C5_3,C6_1,C6_2,C6_3,C6_4,C6_a,C6_b,D1_1,D1_2,D2_1,D2_2,D2_3,D3_1,D3_2,D3_3,D3_4,D3_a,D3_b,D4Post_1,D4Post_2,D4Post_3,D4Post_4,D5_1,D5_2,D5_3,D6_1,D6_2,D6_3,D6_4,D6_a,D6_b,E1_1,E1_2,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,E3_4,E3_a,E3_b,E4Post_1,E4Post_2,E4Post_3,E4Post_4,E5_1,E5_2,E5_3,E6_1,E6_2,E6_3,E6_4,E6_a,E6_b,F1_1,F1_2,F2_1,F2_2,F2_3,F3_1,F3_2,F3_3,F3_4,F3_a,F3_b,F4Post_1,F4Post_2,F4Post_3,F4Post_4,F5_1,F5_2,F5_3,F6_1,F6_2,F6_3,F6_4,F6_a,F6_b,CD_s_1_1,CD_s_1_2,CD_s_2_1,CD_s_2_2,CD_s_2_3,CD_s_2_a,CD_s_2_b,CD_s_3_1,CD_s_3_2,CD_s_3_3,CD_s_4_1,CD_s_4_2,CD_s_4_3,CD_s_5_1,CD_s_5_2,CD_s_5_3,CD_s_5_4,CD_s_5_a,CD_s_5_b,E_s_1_1,E_s_1_2,E_s_2_1,E_s_2_2,E_s_2_3,E_s_2_a,E_s_2_b,E_s_3_1,E_s_3_2,E_s_3_3,E_s_4_1,E_s_4_2,E_s_4_3,E_s_5_1,E_s_5_2,E_s_5_3,E_s_5_4,E_s_5_a,E_s_5_b,Policy.10mopTooLong,Policy.8mopTooLong,Policy.mopWontSell,Policy.mopCanWait,Policy.8clawbackTooStiff,Policy.4clawbackTooStiff,Policy.clawbackWontSell,Policy.clawbackCanCover,Policy.LikeLocation,Policy.LikeBig,Policy.Others,G1_11.Others,ChangeFamilyPlanning,MoreChild,LessChild,PolicyFamily.LessHousingBurden,PolicyFamily.MoreHousingBurden,PolicyFamily.EasierChildrenEnvironment,PolicyFamily.DifficultChildrenEnvironment,PolicyFamily.LifestyleChange,PolicyFamily.Others,G5_6.Others,CentralPublicDemand,CentralPrivateDemand,CentralPublicSupply,CentralPrivateSupply,CentralReturns,CentralVolatility,CentralPublicDemandPost,CentralPrivateDemandPost,CentralPublicSupplyPost,CentralPrivateSupplyPost,CentralReturnsPost,CentralVolatilityPost,PlusPublicDemand,PlusPrivateDemand,PlusPublicSupply,PlusPrivateSupply,PlusReturns,PlusVolatility,PlusPublicDemandPost,PlusPrivateDemandPost,PlusPublicSupplyPost,PlusPrivateSupplyPost,PlusReturnsPost,PlusVolatilityPost,StandardPublicDemand,StandardPrivateDemand,StandardPublicSupply,StandardPrivateSupply,StandardReturns,StandardVolatility,StandardPublicDemandPost,StandardPrivateDemandPost,StandardPublicSupplyPost,StandardPrivateSupplyPost,StandardReturnsPost,StandardVolatilityPost,Winner_LowIncomeBTO,Winner_HighIncomeBTO,Winner_PrivatePropertyPurchasers,Winner_HighIncomeResale,H1_5,Benefit_Below40yo,Benefit_40yo60yo,Benefit_Above60yo,Segregation,LowerWealthAccum,PersonalIncome,Education,Employment,I3.Others,Industry,WorkplaceLocate,WorkplaceLocality,HomeLocate,CurrentHouseOwner,I9.Others,CurrentHousingType,HDBType,PrivateType,I7_b_b.Others,YrMoveInHome,Owner.Parent,Owner.Spouse,Owner.Family,Owner.Friend,Owner.Other,I10_a_5.Others,HomeValueEstimate,RentFrom,I10_r_a.Others,HomeRentEstimate,Two_MatureNew,Two_NonMatureNew,Tri_MatureNew,Tri_NonMatureNew,Tri_MatureResale,Four_MatureNew,Four_NonMatureNew,Four_MatureResale,Four_NonMatureResale,PrePolicyDownpayment,PrePolicyTDSR,Post_PrimeNew,Post_NonMatureNew,Post_PlusResale,Post_NonMatureResale,Z5_1,Z5_2,Z5_3,PostFour_HighestRank,PostFour_MidPrimeNew,PostFour_SmallPrimeNew,PostFour_BigPlusNew,PostPolicyDownpayment,PostPolicyTDSR,Two_Single_MatureNew,Two_Single_MatureResale,Tri_Single_MatureNew,Tri_Single_MatureResale,Tri_Single_NonMatureResale,PrePolicyDownpaymentSingle,PrePolicyTDSRSingle,Post_Single_PrimeNew,Post_Single_PlusResale,Post_Single_NonMatureResale,Z_s_4_1,Z_s_4_2,Z_s_4_3,PostSingleFour_HighestRank,PostSingleFour_PrimeNew,PostSingleFour_PrimeResale,PostSingleFour_BigPlusResale,PostPolicyDownpaymentSingle,PostPolicyTDSRSingle,2ChoiceRANK1,3ChoiceRANK1,4ChoiceRANK1,PostChoiceRANK1,PostFourChoiceRANK1,2ChoiceRANK2,3ChoiceRANK2,4ChoiceRANK2,PostChoiceRANK2,PostFourChoiceRANK2,2ChoiceRANK3,3ChoiceRANK3,4ChoiceRANK3,PostChoiceRANK3,PostFourChoiceRANK3,2ChoiceRANK4,3ChoiceRANK4,4ChoiceRANK4,PostChoiceRANK4,PostFourChoiceRANK4,2ChoiceSingleRANK1,3ChoiceSingleRANK1,PostChoiceSingleRANK1,PostFourChoiceSingleRANK1,2ChoiceSingleRANK2,3ChoiceSingleRANK2,PostChoiceSingleRANK2,PostFourChoiceSingleRANK2,2ChoiceSingleRANK3,3ChoiceSingleRANK3,PostChoiceSingleRANK3,PostFourChoiceSingleRANK3,2ChoiceSingleRANK4,3ChoiceSingleRANK4,PostChoiceSingleRANK4,PostFourChoiceSingleRANK4,single_eligible,Rank_1,single1buy,ineli,Pn1,Pm1,P%1,Pn2,Pm2,P%2,Pn3,Pm3,P%3
203,204,35,22,1,1,1, ,1,3,1.0,0,1,0,0, ,0,1.0,,1,0,0,1,0,1,0,0, ,1,2,2,,2037, ,,2.0,2,1,2,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,30%,40%,1,2,3,800,600,450,1,3,2,4,25%,50%,1,0,0,0,0,0,1,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,6,4,6,6,4,5,5,3,5,5,6,6,6,5,5,6,5,7,6,4,6,4,6,6,6,5,6,5,7,4,5,5,6,6,4,5,1,3,2,5,4,1,2,3,2,1,5,2,7, ,8.0,Novena,,Yishun,2, ,3,4.0,, ,2002,1,0,0,0,0, ,550000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.0,2.0,3.0,30%,40%,1.0,2.0,3.0,800.0,600.0,450.0,1.0,3.0,2.0,4.0,25%,50%,,1.0,1.0,1.0,1.0,,3.0,3.0,3.0,3.0,,,4.0,4.0,2.0,,,,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,,3.0,3.0,2.0,,,,4.0,1,1,1,0,800.0,500.0,0.625,600.0,300.0,0.5,450.0,150.0,0.3333333333333333
204,205,36,33,3,2,2, ,1,1,,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2027,2027,1.0,,1,3,2,5,1,4,2,1,3,1,2,4,2,3,1,55%,45%,3,2,4,1,300,300,300,1,3,4,2,65%,35%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,2,3,1,2,3,2,1,7,8,4, ,, ,2.0,190007,6, ,3,1.0,, ,2021,0,0,0,0,0, , ,4.0,Government,180,2.0,1.0,3,1,2.0,4.0,2.0,3.0,1.0,55%,45%,3.0,2.0,4.0,1.0,300.0,300.0,300.0,1.0,3.0,4.0,2.0,65%,35%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,,1.0,3.0,1.0,2.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,0,4,0,0,300.0,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0
205,206,31,25,1,1,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2030,2031,2.0,,3,2,1,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,1,2,4,1,3,2,20%,20%,4,2,3,1,500,500,500,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,5,1,3,2,1,1,2,4,2,6, ,16.0,Tai Seng,,Hougang,5, ,3,4.0,, ,2010,1,0,0,0,0, ,500000,, , ,2.0,1.0,3,1,2.0,4.0,1.0,3.0,2.0,20%,20%,4.0,2.0,3.0,1.0,500.0,500.0,500.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,,1.0,3.0,3.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,500.0,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0
206,207,31,25,1,1,1, ,1,3,2.0,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,1,2,3,2.0,2030,2031,2.0,,2,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,3,2,4,20%,20%,1,3,2,4,600,650,580,1,2,4,3,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,1,0,0, ,5,1, ,0,0,1,0,0,0, ,6,6,3,5,5,5,6,5,7,6,5,5,7,5,5,7,5,6,5,5,6,5,3,6,6,5,5,2,3,6,5,5,5,6,5,4,1,2,3,4,5,1,3,2,1,2,5,2,6, ,14.0,City Hall,,Bedok,5, ,3,4.0,, ,2015,1,0,0,0,0, ,500000,, , ,1.0,2.0,1,3,2.0,1.0,3.0,2.0,4.0,20%,20%,1.0,3.0,2.0,4.0,600.0,650.0,580.0,1.0,2.0,4.0,3.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,,2.0,2.0,2.0,4.0,,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,600.0,100.0,0.16666666666666666,650.0,150.0,0.23076923076923078,580.0,80.0,0.13793103448275862
207,208,32,29,2,1,1, ,1,3,2.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2027,2028,3.0,,2,5,4,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,1,4,3,1,2,80%,25%,4,2,3,1,600,400,680,1,3,4,2,80%,25%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,7,6,2,4,6,6,5,4,5,5,5,5,7,5,6,5,6,5,7,3,5,3,5,5,3,4,3,4,2,2,5,5,4,3,5,5,1,3,2,4,5,1,2,3,3,1,6,2,6, ,8.0,Queenstown,,Pioneer,5, ,3,5.0,, ,2007,1,0,0,0,0, ,500000,, , ,2.0,1.0,3,2,1.0,4.0,3.0,1.0,2.0,80%,25%,4.0,2.0,3.0,1.0,600.0,400.0,680.0,1.0,3.0,4.0,2.0,80%,25%,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,,1.0,2.0,3.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,600.0,-80.0,-0.13333333333333333,400.0,-280.0,-0.7,680.0,0.0,0.0
208,209,36,34,3,1,1, ,1,1,,0,0,0,0, ,3,,1.0,0,0,1,0,0,0,0,0, ,1,2,3,2.0,2026, ,4.0,,7,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,1,2,3,4,20%,10%,1,2,3,4,1000,1000,1000,1,2,3,4,20%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,4, ,1,0,1,0,0,0,0, ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,1,2,3,1,2,3,4,6, ,14.0,Labrador,,Sengkang,2, ,3,5.0,, ,2000,0,1,0,0,0, ,100000,, , ,1.0,2.0,1,2,3.0,1.0,2.0,3.0,4.0,20%,10%,1.0,2.0,3.0,4.0,1000.0,1000.0,1000.0,1.0,2.0,3.0,4.0,20%,10%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,1,0,1,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0
209,210,26,26,2,1,1, ,1,3,3.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2024,2025,3.0,,2,5,3,4,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,1,2,4,1,3,2,100%,10%,4,1,3,2,700,500,900,1,3,4,2,100%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,1,0, ,1, , ,0,0,0,0,0,0, ,4,4,4,4,6,5,4,4,4,4,3,4,4,4,4,4,4,6,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,5,4,5,3,1,4,2,5,1,2,3,2,2,5,2,6, ,14.0,City Hall,,Clementi,5, ,3,6.0,, ,1998,1,0,0,0,0, ,1000000,, , ,2.0,1.0,3,1,2.0,4.0,1.0,3.0,2.0,100%,10%,4.0,1.0,3.0,2.0,700.0,500.0,900.0,1.0,3.0,4.0,2.0,100%,10%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,,1.0,3.0,3.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,5,0,0,700.0,20.0,0.02857142857142857,500.0,-180.0,-0.36,900.0,220.0,0.24444444444444444
210,211,32,29,2,1,1, ,1,1,,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2027,2028,2.0,,4,3,4,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,3,1,3,2,4,20%,10%,2,1,3,4,500,450,550,1,3,2,4,20%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,0,0,0,0,0,0,0, ,4, ,1,0,1,0,1,0,0, ,4,3,6,5,2,4,5,6,3,5,4,6,3,6,4,5,4,6,3,4,3,6,6,7,4,5,5,3,7,5,3,6,5,7,5,3,1,2,5,3,4,1,3,2,2,1,1,2,6, ,16.0,Robinsons Point,,520809,6, ,3,3.0,, ,2022,0,0,0,0,0, , ,3.0, ,3000,1.0,2.0,2,1,3.0,1.0,3.0,2.0,4.0,20%,10%,2.0,1.0,3.0,4.0,500.0,450.0,550.0,1.0,3.0,2.0,4.0,20%,10%,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,,3.0,2.0,3.0,2.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,5,0,0,500.0,0.0,0.0,450.0,-50.0,-0.1111111111111111,550.0,50.0,0.09090909090909091
211,212,33,24,1,1,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,1,2,3,2.0,2033,2035,3.0,,7,1,2,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,4,1,2,3,30%,30%,4,1,2,3,600,450,750,1,3,4,2,40%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,1,1,1,0,0,0, ,1, , ,0,0,0,0,0,0, ,7,4,5,4,3,4,4,3,5,3,3,4,4,4,4,4,4,4,4,4,3,3,7,4,3,3,2,7,5,5,6,7,5,4,5,2,1,3,4,2,5,1,2,3,3,2,4,1,2, ,, ,3.0,Bedok,5, ,3,3.0,, ,2005,1,0,0,0,0, ,1300000,, , ,2.0,1.0,2,1,3.0,4.0,1.0,2.0,3.0,30%,30%,4.0,1.0,2.0,3.0,600.0,450.0,750.0,1.0,3.0,4.0,2.0,40%,30%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,,3.0,4.0,4.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,0,1,0,0,600.0,-80.0,-0.13333333333333333,450.0,-230.0,-0.5111111111111111,750.0,70.0,0.09333333333333334
212,213,37,34,3,1,1, ,1,3,3.0,0,0,0,0, ,0,2.0,,0,0,0,0,0,0,0,0, ,1,2,2,,2027,2026,,2.0,3,1,4,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,20%,30%,2,1,3,300,300,300,2,1,3,4,20%,30%,0,1,0,0,0,0,0,0,0,0,0, ,4, ,1,0,0,0,1,0,0, ,3,4,4,3,4,4,3,4,3,4,4,3,3,4,3,4,3,4,3,4,5,3,4,3,4,5,4,3,4,5,4,5,3,4,4,3,1,2,3,4,5,1,2,3,2,1,6,2,6, ,2.0,Jurong,,Hillview,5, ,1,,4.0, ,2002,1,0,0,0,0, ,2000000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.0,2.0,3.0,20%,30%,2.0,1.0,3.0,300.0,300.0,300.0,2.0,1.0,3.0,4.0,20%,30%,,1.0,1.0,3.0,2.0,,3.0,3.0,1.0,1.0,,,4.0,4.0,3.0,,,,,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,3.0,3.0,3.0,,,,4.0,1,1,1,0,300.0,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0
213,214,30,24,1,1,3, ,1,3,2.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,1.0,2030,2027,1.0,,1,1,5,2,4,3,2,1,2,1,3,4,1,3,2,50%,30%,4,1,3,2,400,200,500,4,1,3,2,50%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,7,4,7,5,5,6,4,5,4,2,5,7,6,4,2,4,7,5,3,2,1,7,3,7,1,5,1,7,5,3,4,5,1,4,7,7,2,3,1,4,5,1,2,3,1,1,4,8,6, ,16.0,Lakeside,,Lakeside,5, ,3,3.0,, ,2018,1,0,0,0,0, ,600000,, , ,2.0,1.0,2,1,3.0,4.0,1.0,3.0,2.0,50%,30%,4.0,1.0,3.0,2.0,400.0,200.0,500.0,4.0,1.0,3.0,2.0,50%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0,1,0,0,400.0,100.0,0.25,200.0,-100.0,-0.5,500.0,200.0,0.4
214,215,35,24,1,1,1, ,1,3,1.0,1,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,1,2,2,,2035,2030,,3.0,7,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,1,2,4,2,3,1,100%,20%,3,2,4,1,800,700,800,2,3,4,1,100%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,1,0,0,0,0,0,0, ,2,2, ,0,0,0,0,1,0, ,6,6,5,5,6,5,6,6,5,5,6,5,6,6,5,5,7,7,4,4,4,4,4,4,6,6,5,5,5,5,6,6,5,5,6,5,5,3,4,2,1,3,2,1,1,1,6,2,6, ,6.0,Orchard,,Sembawang,5, ,3,6.0,, ,2013,1,0,0,0,0, ,600000,, , ,2.0,1.0,3,1,2.0,4.0,2.0,3.0,1.0,100%,20%,3.0,2.0,4.0,1.0,800.0,700.0,800.0,2.0,3.0,4.0,1.0,100%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,0,5,1,1,800.0,-200.0,-0.25,700.0,-300.0,-0.42857142857142855,800.0,-200.0,-0.25
215,216,28,22,1,2,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2030,2032,3.0,,3,3,1,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,3,1,2,4,3,50%,25%,1,2,4,3,580,350,830,1,3,4,2,40%,15%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,5,5,4,2,6,6,6,6,2,2,5,5,6,6,2,2,7,7,2,2,6,5,3,5,4,4,3,3,5,5,4,4,2,2,5,5,5,2,4,3,1,2,1,3,2,1,4,3,2, ,, ,3.0,Pioneer,5, ,3,4.0,, ,2006,1,0,0,0,0, ,500000,, , ,1.0,2.0,2,1,3.0,1.0,2.0,4.0,3.0,50%,25%,1.0,2.0,4.0,3.0,580.0,350.0,830.0,1.0,3.0,4.0,2.0,40%,15%,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,,3.0,4.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,580.0,-100.0,-0.1724137931034483,350.0,-330.0,-0.9428571428571428,830.0,150.0,0.18072289156626506
216,217,28,22,1,2,4,Eurasian,1,3,4.0,0,0,0,0, ,0,4.0,,0,0,0,0,0,0,0,0, ,2,2,3,1.0,2030,2031,3.0,,2,1,4,5,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,1,2,4,2,3,1,65%,10%,4,2,3,1,900,700,980,1,4,3,2,65%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,1,0, ,1, , ,0,0,0,0,0,0, ,2,5,3,5,4,5,5,5,5,5,6,7,3,4,3,4,4,5,2,5,2,5,3,5,4,5,4,5,5,6,4,3,4,3,4,5,2,1,3,4,5,1,2,3,3,1,7,3,3,Student,, ,1.0,523230,5, ,3,6.0,, ,2016,1,0,0,0,0, ,1000000,, , ,2.0,1.0,3,1,2.0,4.0,2.0,3.0,1.0,65%,10%,4.0,2.0,3.0,1.0,900.0,700.0,980.0,1.0,4.0,3.0,2.0,65%,10%,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,,1.0,3.0,3.0,3.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,0,1,0,0,900.0,220.0,0.24444444444444444,700.0,20.0,0.02857142857142857,980.0,300.0,0.30612244897959184
217,218,30,29,2,1,1, ,1,3,3.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2025,2026,3.0,,4,4,1,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,3,2,3,1,2,4,20%,20%,3,1,2,4,400,450,600,3,1,2,4,20%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,4, ,1,0,0,0,1,0,0, ,7,3,5,4,3,6,5,3,3,4,5,5,5,4,4,5,3,6,3,4,6,6,5,4,4,6,4,3,7,5,2,4,5,4,5,6,3,2,1,4,5,1,3,2,3,2,6,2,6, ,14.0,Chinatown,,640752,5, ,3,6.0,, ,2000,1,0,0,0,0, ,750000,, , ,2.0,1.0,1,3,2.0,3.0,1.0,2.0,4.0,20%,20%,3.0,1.0,2.0,4.0,400.0,450.0,600.0,3.0,1.0,2.0,4.0,20%,30%,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,,2.0,1.0,1.0,1.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,2,0,0,400.0,-280.0,-0.7,450.0,-230.0,-0.5111111111111111,600.0,-80.0,-0.13333333333333333
